COMPANY,TITLE,COMPANY_URL,LOCATION,BENEFIT,JOB_URL,LISTING_DATE
KOBIL,Software Engineer - Recent College Graduate,https://de.linkedin.com/company/kobil-group?trk=public_jobs_jserp-result_job-search-card-subtitle,"Istanbul, Istanbul, Turkey",Actively Hiring,https://tr.linkedin.com/jobs/view/software-engineer-recent-college-graduate-at-kobil-3602945194?refId=CnFUbuSG%2B%2FEjLmVOyENPgw%3D%3D&trackingId=QqmsaDSLY9dDpkcWtasQag%3D%3D&position=15&pageNum=1&trk=public_jobs_jserp-result_search-card,5 days ago
AXA Türkiye,Risk Mühendisi,https://tr.linkedin.com/company/axa-turkiye?trk=public_jobs_jserp-result_job-search-card-subtitle,"Istanbul, Turkey",Actively Hiring,https://tr.linkedin.com/jobs/view/risk-m%C3%BChendisi-at-axa-t%C3%BCrkiye-3597090839?refId=CnFUbuSG%2B%2FEjLmVOyENPgw%3D%3D&trackingId=gwAsJjkz2ZEOQP5nqDERow%3D%3D&position=16&pageNum=1&trk=public_jobs_jserp-result_search-card,1 week ago
PSA BDP,Business Analyst Specialist,https://www.linkedin.com/company/psabdp?trk=public_jobs_jserp-result_job-search-card-subtitle,Greater Istanbul,Actively Hiring,https://tr.linkedin.com/jobs/view/business-analyst-specialist-at-psa-bdp-3488344123?refId=CnFUbuSG%2B%2FEjLmVOyENPgw%3D%3D&trackingId=hDESvchNn811wuS799WubA%3D%3D&position=17&pageNum=1&trk=public_jobs_jserp-result_search-card,2 weeks ago
Securitas Technology Türkiye,Operasyon Uzman Yardımcısı,https://tr.linkedin.com/company/securitas-tech-tr?trk=public_jobs_jserp-result_job-search-card-subtitle,"Beykoz, Istanbul, Turkey",Actively Hiring,https://tr.linkedin.com/jobs/view/operasyon-uzman-yard%C4%B1mc%C4%B1s%C4%B1-at-securitas-technology-t%C3%BCrkiye-3585544380?refId=CnFUbuSG%2B%2FEjLmVOyENPgw%3D%3D&trackingId=hfhW8cTJZYMJmq15t8F7Cg%3D%3D&position=18&pageNum=1&trk=public_jobs_jserp-result_search-card,5 days ago
Getir,Business Analyst & Process Development Executive,https://tr.linkedin.com/company/getir?trk=public_jobs_jserp-result_job-search-card-subtitle,"İstanbul, Turkey",Actively Hiring,https://tr.linkedin.com/jobs/view/business-analyst-process-development-executive-at-getir-3574813765?refId=CnFUbuSG%2B%2FEjLmVOyENPgw%3D%3D&trackingId=fyM7Aja5Ib2i117lV3dVkQ%3D%3D&position=19&pageNum=1&trk=public_jobs_jserp-result_search-card,1 week ago
Mapa Group,Jr. Business Analyst,https://tr.linkedin.com/company/mapa-group?trk=public_jobs_jserp-result_job-search-card-subtitle,"Ankara, Turkey",Unkown,https://tr.linkedin.com/jobs/view/jr-business-analyst-at-mapa-group-3600973302?refId=CnFUbuSG%2B%2FEjLmVOyENPgw%3D%3D&trackingId=kjRTZgfl%2BKWbV2ZjuGMgCQ%3D%3D&position=20&pageNum=1&trk=public_jobs_jserp-result_search-card,3 days ago
ZES,İş Analisti,https://tr.linkedin.com/company/zorluenergysolutions?trk=public_jobs_jserp-result_job-search-card-subtitle,"Ankara, Turkey",Unkown,https://tr.linkedin.com/jobs/view/i%CC%87%C5%9F-analisti-at-zes-3602335224?refId=CnFUbuSG%2B%2FEjLmVOyENPgw%3D%3D&trackingId=c%2FQ3cGZqiQY%2FgwvRaDZjWA%3D%3D&position=21&pageNum=1&trk=public_jobs_jserp-result_search-card,1 week ago
Aselsan,Algoritma Geliştirme Mühendisi,https://tr.linkedin.com/company/aselsan?trk=public_jobs_jserp-result_job-search-card-subtitle,"Ankara, Turkey",Unkown,https://tr.linkedin.com/jobs/view/algoritma-geli%C5%9Ftirme-m%C3%BChendisi-at-aselsan-3594250394?refId=CnFUbuSG%2B%2FEjLmVOyENPgw%3D%3D&trackingId=2KoTlpM2oJbyReejhpjarA%3D%3D&position=22&pageNum=1&trk=public_jobs_jserp-result_search-card,4 days ago
MetLife Türkiye,Software Developer,https://tr.linkedin.com/company/metlifetr?trk=public_jobs_jserp-result_job-search-card-subtitle,"Istanbul, Turkey",Unkown,https://tr.linkedin.com/jobs/view/software-developer-at-metlife-t%C3%BCrkiye-3605571156?refId=CnFUbuSG%2B%2FEjLmVOyENPgw%3D%3D&trackingId=hf6iqPcVFrm0ga0dl6N0NA%3D%3D&position=23&pageNum=1&trk=public_jobs_jserp-result_search-card,4 days ago
Extratik,Data Analyst,https://tr.linkedin.com/company/extratik?trk=public_jobs_jserp-result_job-search-card-subtitle,"Kucukcekmece, Istanbul, Turkey",Unkown,https://tr.linkedin.com/jobs/view/data-analyst-at-extratik-3603793193?refId=CnFUbuSG%2B%2FEjLmVOyENPgw%3D%3D&trackingId=eE2GXU02%2FSG1uirsOtWfIQ%3D%3D&position=24&pageNum=1&trk=public_jobs_jserp-result_search-card,Unknown
LC Waikiki,E ticaret Analitik Yöneticisi,https://tr.linkedin.com/company/lc-waikiki?trk=public_jobs_jserp-result_job-search-card-subtitle,"Istanbul, Turkey",Unkown,https://tr.linkedin.com/jobs/view/e-ticaret-analitik-y%C3%B6neticisi-at-lc-waikiki-3602122008?refId=CnFUbuSG%2B%2FEjLmVOyENPgw%3D%3D&trackingId=lvgIyzSV6TXhrJ%2FpnWDItA%3D%3D&position=25&pageNum=1&trk=public_jobs_jserp-result_search-card,Unknown
"Svitla Systems, Inc.",SENIOR PYTHON ENGINEER,https://www.linkedin.com/company/svitla-systems-inc-?trk=public_jobs_jserp-result_job-search-card-subtitle,Greater Ankara,Be an early applicant,https://tr.linkedin.com/jobs/view/senior-python-engineer-at-svitla-systems-inc-3603065923?refId=c5YA%2FNQPktxc%2BrDrOtkaJQ%3D%3D&trackingId=eFFlU7R2c52KFTtnKH0Qhg%3D%3D&position=1&pageNum=1&trk=public_jobs_jserp-result_search-card,4 days ago
Şişecam,Researcher,https://tr.linkedin.com/company/sisecam?trk=public_jobs_jserp-result_job-search-card-subtitle,"Kocaeli, Turkey",Actively Hiring,https://tr.linkedin.com/jobs/view/researcher-at-%C5%9Fi%C5%9Fecam-3562439597?refId=c5YA%2FNQPktxc%2BrDrOtkaJQ%3D%3D&trackingId=BCgpuiLZ7IoLuCTwiqz1eg%3D%3D&position=2&pageNum=1&trk=public_jobs_jserp-result_search-card,1 week ago
Koc Finansman A.S.,Yazılım Geliştirme Mühendisi (Deprem İstihdam Seferberliği Özel İş İlanı),https://tr.linkedin.com/company/kocfinans?trk=public_jobs_jserp-result_job-search-card-subtitle,"Istanbul, Turkey",Actively Hiring,https://tr.linkedin.com/jobs/view/yaz%C4%B1l%C4%B1m-geli%C5%9Ftirme-m%C3%BChendisi-deprem-i%CC%87stihdam-seferberli%C4%9Fi-%C3%B6zel-i%CC%87%C5%9F-i%CC%87lan%C4%B1-at-ko%C3%A7-finansman-a-%C5%9F-3602122750?refId=c5YA%2FNQPktxc%2BrDrOtkaJQ%3D%3D&trackingId=6lm0iG0JMixjnLip9HhI0Q%3D%3D&position=3&pageNum=1&trk=public_jobs_jserp-result_search-card,4 days ago
Midas,Software Engineer,https://tr.linkedin.com/company/getmidas?trk=public_jobs_jserp-result_job-search-card-subtitle,Turkey,Actively Hiring,https://tr.linkedin.com/jobs/view/software-engineer-at-midas-3573534914?refId=c5YA%2FNQPktxc%2BrDrOtkaJQ%3D%3D&trackingId=VoHanT6TwC2aH0WiuoJmdw%3D%3D&position=4&pageNum=1&trk=public_jobs_jserp-result_search-card,4 weeks ago
Hayat,Production Engineer,https://tr.linkedin.com/company/hayat-holding?trk=public_jobs_jserp-result_job-search-card-subtitle,"Gölcük, Kocaeli, Turkey",Actively Hiring,https://tr.linkedin.com/jobs/view/production-engineer-at-hayat-kimya-3602186372?refId=c5YA%2FNQPktxc%2BrDrOtkaJQ%3D%3D&trackingId=26KfOStJpdVeE9QAGeu0Bg%3D%3D&position=5&pageNum=1&trk=public_jobs_jserp-result_search-card,4 days ago
